,Name,Team,MatchesPlayed(Sets),Points,SetAverage
1,Adis LAGUMDZIJA,TÜRKIYE,7 (30),135,4.5
2,Nikola GJORGIEV,NORTH MACEDONIA,6 (23),116,5.04
3,Oleh PLOTNYTSKYI,UKRAINE,8 (26),112,4.31
4,Marek SOTOLA,CZECHIA,8 (27),111,4.11
5,Mads Kyed JENSEN,DENMARK,6 (20),109,5.45
6,Vasyl TUPCHII,UKRAINE,8 (26),106,4.08
7,Joonas JOKELA,FINLAND,6 (23),105,4.57
8,Alexandru RATA,ROMANIA,6 (25),103,4.12
9,Patrik LAMANEC,SLOVAKIA,5 (20),102,5.1
10,Lukas VASINA,CZECHIA,8 (29),101,3.48
11,Efe BAYRAM,TÜRKIYE,7 (31),95,3.06
12,Mathijs DESMET,BELGIUM,6 (21),95,4.52
13,Alexandre FERREIRA,PORTUGAL,6 (24),83,3.46
14,Aleksandar LJAFTOV,NORTH MACEDONIA,6 (23),80,3.48
15,Illia KOVALOV,UKRAINE,8 (25),79,3.16
16,Antti RONKAINEN,FINLAND,6 (23),79,3.43
17,Marino MARELIC,CROATIA,7 (24),78,3.25
18,Jose Pedro PINTO,PORTUGAL,6 (20),74,3.7
19,Petar DIRLIC,CROATIA,4 (15),73,4.87
20,Yurii SEMENIUK,UKRAINE,8 (27),72,2.67
21,Martin LICEK,CZECHIA,7 (26),71,2.73
22,Dmytro TERYOMENKO,UKRAINE,8 (25),70,2.8
23,Valentin KORDAS,ESTONIA,6 (22),69,3.14
24,Jakub IHNAT,SLOVAKIA,6 (23),68,2.96
25,Oskar Kjerstein MADSEN,DENMARK,6 (21),68,3.24
26,Ferre REGGERS,BELGIUM,6 (17),65,3.82
27,Patrik INDRA,CZECHIA,8 (27),64,2.37
28,Kruno NIKAČEVIĆ,CROATIA,8 (31),61,1.97
29,Jolan COX,BELGIUM,6 (18),58,3.22
30,Julius FIRKAL,SLOVAKIA,6 (21),58,2.76
31,Ivan ZELJKOVIĆ,CROATIA,7 (22),57,2.59
32,Karli ALLIK,ESTONIA,6 (21),55,2.62
33,Tobias Hougs KJÆR,DENMARK,6 (21),53,2.52
34,Peter ONDROVIC,SLOVAKIA,6 (23),52,2.26
35,Filip SAVOVSKI,NORTH MACEDONIA,6 (23),51,2.22
36,Kaan GÜRBÜZ,TÜRKIYE,7 (26),49,1.88
37,Robert Adrian ACIOBANITEI,ROMANIA,5 (21),46,2.19
38,Bedirhan BÜLBÜL,TÜRKIYE,6 (25),46,1.84
39,Faik Samed GÜNEŞ,TÜRKIYE,7 (28),46,1.64
40,Lourenco MARTINS,PORTUGAL,5 (19),45,2.37
41,Andri AGANITS,ESTONIA,5 (16),44,2.75
42,Filip CVETICANIN,PORTUGAL,6 (24),44,1.83
43,Ivan MIHALJ,CROATIA,8 (31),44,1.42
44,Marian Iulian BALA,ROMANIA,3 (13),42,3.23
45,Yiğit GÜLMEZOĞLU,TÜRKIYE,8 (27),41,1.52
46,Miika HAAPANIEMI,FINLAND,6 (18),41,2.28
47,Tomislav MITRAŠINOVIĆ,CROATIA,4 (13),40,3.08
48,Adam ZAJICEK,CZECHIA,8 (28),40,1.43
49,Rasmus MIKELSONS,DENMARK,6 (21),39,1.86
50,Seppe ROTTY,BELGIUM,6 (17),39,2.29
