,Name,Team,MatchesPlayed(Sets),Efficiency
1,Fedor IVANOV,FINLAND,6 (23),56.22%
2,Vitaliy SHCHYTKOV,UKRAINE,8 (24),53.63%
3,Filip PALGUT,SLOVAKIA,6 (20),52.74%
4,Claudiu DUMITRU,ROMANIA,6 (23),49.37%
5,Petar VISIC,CROATIA,4 (12),48.89%
6,Arda BOSTAN,TÜRKIYE,4 (11),48.21%
7,Jiri SRB,CZECHIA,5 (16),47.17%
8,Simon BRYKNAR,CZECHIA,5 (12),46.87%
9,Arslan EKSI,TÜRKIYE,8 (32),46.82%
10,Yurii SYNYTSIA,UKRAINE,4 (8),46.67%
11,Liam MC CLUSKEY,BELGIUM,6 (21),42.94%
12,Jakub JANOUCH,CZECHIA,3 (13),41.79%
13,Bernard BAKONJI,CROATIA,4 (10),40.91%
14,Lubos BARTUNEK,CZECHIA,3 (11),40.00%
15,Gjorgi Jr GJORGIEV,NORTH MACEDONIA,5 (15),39.34%
16,Miguel TAVARES RODRIGUES,PORTUGAL,5 (20),36.95%
17,Renet VANKER,ESTONIA,4 (11),34.15%
18,Filip DESPOTOVSKI,NORTH MACEDONIA,5 (11),33.33%
19,Markkus KEEL,ESTONIA,3 (11),32.56%
20,Cristian BARTHA,ROMANIA,6 (18),31.43%
21,Mikkel HOFF,DENMARK,6 (21),30.69%
22,Seppe VAN HOYWEGHEN,BELGIUM,6 (13),23.08%
23,Robert VIIBER,ESTONIA,5 (16),22.81%
